"lsoa11cd","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01006512","Liverpool 031A",19.53,3,5,14481,"B","North West",19.53,14342,0.08,21164,0.06,21816,1.11,3364,8.26,23349,30.99,6487,-0.51,23643,37.7,5698,47.89,3677,17.32,15070,18.44,14339,43.54,4532,14.91,16782,1.6,30266,0.23,11658,0.32,5935
"E01006513","Liverpool 060A",22.89,2,4,12103,"B","North West",22.89,11973,0.06,24533,0.04,26882,0.98,4313,4.67,27466,22.81,13543,1.32,1625,57.29,1400,54.48,2655,62.91,1710,0.79,31370,44.83,4261,6.21,24698,3.13,28294,0.35,6193,0.34,5359
"E01006514","Liverpool 037A",53.62,1,1,1593,"B","North West",53.62,1603,0.28,4346,0.27,806,2.12,229,10.25,21338,28.84,8057,1.16,2449,49.38,2677,57.57,2268,33.01,7411,10.67,20269,47.01,3837,17.69,14826,2.82,28692,0.25,10260,0.62,364
"E01006515","Liverpool 037B",73.82,1,1,106,"B","North West",73.82,111,0.54,83,0.32,288,2.25,157,35.98,6355,25.21,11207,1.71,527,50.05,2528,56.74,2367,36.67,6258,13.76,17665,36.66,6260,31.46,7955,40.5,5233,0.73,136,0.95,20
"E01006518","Liverpool 044A",70.68,1,1,203,"B","North West",70.68,211,0.49,284,0.34,183,2.38,88,62.48,1522,19.67,16829,0.52,8880,44.33,3826,55.64,2504,21.7,12388,3.85,27406,35.5,6607,69.07,1209,55.9,2471,0.67,293,0.62,362
"E01006519","Liverpool 056A",13.36,4,7,20165,"B","North West",13.36,19962,0.05,27300,0.08,17585,0.5,9187,1.74,30925,18.04,18698,0.28,12117,23.7,11565,18.37,14383,34.38,6957,19.56,13636,16.53,15616,1.57,30308,1.91,29861,0.04,28891,0.09,26312
"E01006520","Liverpool 043A",48.83,1,1,2405,"B","North West",48.83,2411,0.26,5109,0.23,1554,1.86,565,12.35,19411,26.89,9662,0.89,4585,56.27,1527,73.42,927,21.98,12233,11.19,19808,42.6,4738,23.64,11351,1.05,31008,0.27,9651,0.54,750
"E01006521","Liverpool 052A",36.34,1,2,5814,"B","North West",36.34,5760,0.22,7128,0.19,3490,1.16,3026,27.38,9455,23.59,12771,0.14,14189,34.76,6683,44.55,4319,15.19,16576,12.83,18410,34.35,6965,48.35,3597,6.41,24474,0.28,9040,0.28,7830
"E01006522","Liverpool 048A",50.5,1,1,2090,"B","North West",50.5,2095,0.27,4835,0.24,1310,2.08,262,16.73,15730,21.81,14581,0.85,4924,55.83,1573,74.42,870,18.65,14199,4.05,27165,39.56,5469,31.51,7937,1.94,29821,0.44,3670,0.51,1137
"E01006523","Liverpool 052B",40.72,1,2,4373,"B","North West",40.72,4352,0.23,6602,0.19,3600,1.66,977,17.01,15532,30.25,6985,0.37,10875,44.03,3907,48.38,3591,35.33,6658,23.65,11346,36.85,6206,29.57,8673,4.45,26695,0.37,5584,0.37,4006
"E01006524","Liverpool 048B",11.89,4,7,21861,"B","North West",11.89,21646,0.05,26592,0.03,29791,0.85,5416,5.31,26730,27.22,9399,-0.55,24110,14.93,17910,22,12222,0.8,31361,22.09,12171,32.35,7636,8.88,21942,1.74,30091,0.09,22652,0.21,12859
"E01006525","Liverpool 049A",11.77,4,7,22023,"B","North West",11.77,21808,0.05,26252,0.07,19318,0.63,7633,4.13,28106,20.45,15999,-0.3,20776,10.63,22210,13.88,17572,4.12,27087,24.49,10922,16.4,15702,1.49,30414,6.76,24103,0.07,24884,0.09,26327
"E01006526","Liverpool 048C",21.48,2,4,13029,"B","North West",21.48,12896,0.13,14121,0.11,10383,0.75,6393,11.32,20315,20.03,16464,0.02,15968,24.63,11053,34.36,6963,5.18,25842,18.68,14180,21.38,12563,13.36,17981,9.27,21568,0.16,15650,0.23,10982
"E01006527","Liverpool 053A",19.8,3,5,14267,"B","North West",19.8,14130,0.15,11906,0.11,11614,0.83,5672,8.19,23414,16.49,20579,-0.54,23983,19.02,14572,23.61,11362,9.82,21048,13.24,18078,19.74,13523,5.48,25512,10.91,20053,0.17,14594,0.28,8024
"E01006528","Liverpool 052C",26.35,2,4,10063,"B","North West",26.35,9960,0.14,13295,0.1,11897,1.1,3463,8.49,23096,27.13,9474,0.2,13439,46.41,3323,58.71,2138,21.82,12318,25.93,10235,28.33,9178,10.77,20175,6.21,24701,0.15,16686,0.31,6481
"E01006529","Liverpool 048D",17.52,3,5,16176,"B","North West",17.52,16002,0.1,17608,0.09,15472,0.84,5575,7.69,23998,9.11,28552,-0.2,19293,32.64,7444,41.91,4896,14.11,17393,2.99,28469,15.23,16550,10.36,20548,5.01,26043,0.12,18709,0.18,14900
"E01006530","Liverpool 055A",12,4,7,21742,"B","North West",12,21530,0.07,22245,0.09,15469,0.36,10830,6.97,24843,14.5,22881,-0.49,23304,9.84,23096,10.83,20125,7.85,22966,10.48,20436,18.52,14286,5.62,25354,8.32,22493,0.1,21415,0.12,21487
"E01006531","Liverpool 055B",15.04,3,6,18401,"B","North West",15.04,18209,0.09,18867,0.09,13659,0.56,8491,7.07,24723,17.22,19669,-0.31,20834,12.61,20122,14.28,17261,9.28,21561,13.71,17704,20.73,12937,3.12,28306,11.02,19955,0.03,30844,0.17,15781
"E01006532","Liverpool 047A",12.81,4,7,20795,"B","North West",12.81,20597,0.07,23145,0.08,16773,0.37,10812,1.68,31006,26.67,9865,-0.4,22204,12.17,20557,6.44,24449,23.64,11348,38.98,5619,14.35,17206,0.18,32231,3.17,28242,0.05,27120,0.11,22695
"E01006533","Liverpool 055C",26.85,2,3,9802,"B","North West",26.85,9703,0.15,12192,0.14,7402,0.99,4185,6.98,24825,20.61,15832,0.64,7350,31.45,7933,30.77,8209,32.79,7486,19.47,13690,21.75,12355,3.54,27790,10.43,20486,0.11,19982,0.25,9850
"E01006534","Liverpool 054A",30.94,2,3,7857,"B","North West",30.94,7781,0.21,7781,0.14,6958,0.9,4991,21.15,12668,20.53,15904,-0.15,18454,48.07,2957,61.9,1806,20.42,13121,11.65,19409,29.42,8732,20.7,12954,21.6,12443,0.28,9209,0.29,7524
"E01006535","Liverpool 054B",40.31,1,2,4502,"B","North West",40.31,4477,0.22,7473,0.19,3444,1.35,2010,25.66,10249,20.57,15865,0.4,10447,58.66,1233,74.61,859,26.75,9858,13.17,18133,27.97,9330,16.52,15624,34.81,6820,0.19,13703,0.36,4560
"E01006536","Liverpool 054C",44.21,1,2,3405,"B","North West",44.21,3401,0.28,4566,0.2,2588,1.3,2248,32.51,7441,20.9,15540,-0.13,18244,63.38,779,87.32,314,15.49,16354,16.35,15742,25.45,10458,27.07,9720,37.95,5895,0.35,6180,0.37,4264
"E01006537","Liverpool 055D",24.79,2,4,10907,"B","North West",24.79,10793,0.15,12195,0.12,9682,0.53,8810,19.92,13443,14.98,22350,0.72,6382,31.51,7911,35.45,6621,23.62,11357,5.22,25799,24.74,10798,13.41,17942,26.44,10001,0.22,11909,0.19,13996
"E01006538","Liverpool 055E",22.67,2,4,12233,"B","North West",22.67,12104,0.13,14252,0.12,9019,0.46,9628,20.01,13383,13.87,23600,0.29,12069,31.2,8010,32.64,7538,28.31,9184,2.44,29171,25.3,10527,18.54,14272,21.48,12510,0.17,14685,0.19,14796
"E01006539","Liverpool 047B",16.19,3,6,17373,"B","North West",16.19,17187,0.06,24306,0.09,13674,0.73,6601,2.02,30593,23.75,12631,0.17,13775,17.99,15332,15.56,16306,22.87,11752,27.85,9380,19.65,13580,0.22,32169,3.82,27446,0.04,29734,0.11,22580
"E01006540","Liverpool 024A",76.86,1,1,54,"B","North West",76.86,55,0.5,207,0.37,97,2.28,141,62.72,1502,24.58,11825,0.89,4584,65.61,617,85.76,366,25.31,10523,11.47,19559,37.69,5968,59.75,2025,65.69,1467,0.62,644,0.51,1042
"E01006541","Liverpool 015A",43.32,1,2,3635,"B","North West",43.32,3626,0.25,5921,0.19,3224,1.19,2881,36.57,6191,20.42,16026,0.93,4191,53.29,1949,71.7,1032,16.46,15665,8.4,22410,32.43,7609,31.89,7801,41.26,5048,0.3,8160,0.38,3748
"E01006542","Liverpool 018A",70.55,1,1,211,"B","North West",70.55,219,0.38,1626,0.34,194,2.21,178,39.78,5361,17.12,19778,2.16,95,69.06,401,82.11,502,42.98,4654,4.31,26858,29.94,8530,35.96,6466,43.6,4519,0.43,3682,0.35,4877
"E01006543","Liverpool 015B",23.56,2,4,11675,"B","North West",23.56,11552,0.13,14267,0.11,10550,0.8,5935,22.06,12154,14.44,22957,0.19,13549,32.52,7494,40.3,5282,16.95,15321,3.44,27913,25.44,10461,11.09,19892,33.03,7401,0.18,14535,0.21,12379
"E01006544","Liverpool 015C",60.81,1,1,750,"B","North West",60.81,757,0.42,900,0.26,859,1.52,1371,50.59,3092,14.16,23265,0.62,7520,67.57,481,91.89,181,18.93,14028,1.19,30821,27.13,9690,40,5357,61.18,1877,0.64,466,0.39,3530
"E01006545","Liverpool 019A",37.37,1,2,5432,"B","North West",37.37,5389,0.25,5914,0.16,5275,0.9,4949,26.95,9647,12.4,25240,0.44,9893,66.09,585,87.67,303,22.93,11719,0.65,31572,24.16,11085,19.25,13823,34.64,6873,0.43,3923,0.28,7983
"E01006546","Liverpool 019B",53.28,1,1,1645,"B","North West",53.28,1652,0.3,3622,0.2,2657,1.42,1707,39.88,5343,15.33,21959,1.57,787,73.91,227,85.38,379,50.96,3165,0.11,32333,30.56,8291,39.27,5542,40.48,5236,0.45,3416,0.33,5583
"E01006547","Liverpool 019C",67.04,1,1,352,"B","North West",67.04,361,0.38,1512,0.27,733,1.93,451,43.41,4463,17.83,18950,1.76,430,78.87,81,93.58,138,49.44,3410,0.9,31222,34.76,6836,42.85,4683,43.97,4439,0.54,1423,0.36,4472
"E01006548","Liverpool 019D",60.91,1,1,736,"B","North West",60.91,746,0.38,1450,0.25,1186,2,346,38.04,5795,17.88,18892,1.05,3230,68.27,436,91.29,197,22.22,12099,3.48,27858,32.27,7665,42.91,4670,33.17,7355,0.52,1775,0.39,3353
"E01006549","Liverpool 043B",48.37,1,1,2497,"B","North West",48.37,2502,0.23,6738,0.23,1719,1.98,380,12.47,19288,32.62,5489,0.79,5631,55.48,1620,76.71,747,13.02,18259,20.12,13295,45.11,4205,21.78,12340,3.15,28270,0.34,6755,0.28,7942
"E01006550","Liverpool 038A",18.49,3,5,15349,"B","North West",18.49,15190,0.09,18615,0.05,23700,0.97,4429,7.92,23713,16.47,20614,-0.41,22347,51.66,2213,67.73,1307,19.53,13651,0,32477,32.94,7432,11.4,19619,4.45,26698,0.23,11334,0.33,5516
"E01006551","Liverpool 048E",39.76,1,2,4661,"B","North West",39.76,4635,0.29,3921,0.17,4448,1.7,889,20.16,13282,25.55,10898,-0.08,17489,33.04,7305,29.91,8540,39.3,5535,13.8,17632,37.29,6079,33.62,7205,6.71,24157,0.36,5826,0.53,878
"E01006552","Liverpool 039A",63.16,1,1,574,"B","North West",63.16,584,0.43,704,0.25,1055,2,344,40.04,5302,26.66,9868,0.62,7493,63.16,807,83.12,462,23.22,11565,15.85,16093,37.47,6029,69.11,1206,10.97,20002,0.64,460,0.67,240
"E01006553","Liverpool 042A",21.75,2,4,12828,"B","North West",21.75,12695,0.11,16893,0.08,16475,0.85,5480,14.5,17533,15.73,21507,-0.01,16562,52.23,2107,67.66,1312,21.38,12565,0.4,31915,31.05,8105,26.43,10004,2.56,29016,0.27,9574,0.31,6416
"E01006554","Liverpool 048F",28.65,2,3,8923,"B","North West",28.65,8823,0.13,13847,0.13,8632,1.26,2463,2.36,30218,20.9,15536,0.46,9558,54.35,1787,59.03,2103,45,4226,2.63,28922,39.17,5568,2.44,29174,2.28,29383,0.09,22585,0.39,3437
"E01006556","Liverpool 039B",67,1,1,355,"B","North West",67,364,0.46,464,0.27,751,2.29,135,39.45,5449,20.24,16240,0.96,3979,65.09,657,64.66,1554,65.95,1446,3.06,28382,37.41,6045,55.29,2549,23.61,11366,0.65,386,0.64,316
"E01006557","Liverpool 038B",28.66,2,3,8917,"B","North West",28.66,8817,0.14,13461,0.07,19087,1.04,3861,24.42,10824,16.23,20913,0.87,4783,62.6,850,75.05,835,37.7,5963,0.09,32355,32.37,7630,33.74,7164,15.1,16643,0.39,5032,0.38,3820
"E01006558","Liverpool 018B",76.16,1,1,64,"B","North West",76.16,66,0.44,609,0.34,193,2.04,314,62.76,1498,22.02,14349,1.7,544,68.53,425,84.73,402,36.12,6418,8.56,22257,35.47,6614,63.97,1614,61.54,1841,0.63,561,0.42,2732
"E01006560","Liverpool 023A",81.48,1,1,13,"B","North West",81.48,12,0.62,15,0.5,6,2.65,34,82.25,269,24.73,11677,1.44,1155,30.36,8355,20.64,12990,49.8,3350,12.62,18584,36.83,6210,72.15,1004,92.35,169,0.79,52,0.67,243
"E01006562","Liverpool 018E",77.2,1,1,49,"B","North West",77.2,49,0.47,368,0.36,120,2.22,173,67.64,1053,18.76,17901,1.71,511,54.11,1823,60.09,1989,42.15,4841,3.81,27462,33.7,7177,72.12,1006,63.15,1688,0.53,1581,0.53,816
"E01006563","Liverpool 024B",77.62,1,1,41,"B","North West",77.62,42,0.59,29,0.42,36,2.64,39,64.49,1316,21.21,15207,1.53,883,27.24,9754,21.83,12312,38.06,5866,8.54,22280,33.88,7118,61.68,1828,67.3,1339,0.83,31,0.56,659
"E01006564","Liverpool 023B",56.56,1,1,1199,"B","North West",56.56,1205,0.35,2156,0.3,443,1.71,856,48.72,3397,23.29,13078,0.87,4762,21.61,12813,19.08,13928,26.66,9901,11.78,19296,34.79,6825,30.81,8194,66.62,1392,0.48,2660,0.39,3340
"E01006565","Liverpool 029A",45.98,1,1,2999,"B","North West",45.98,3002,0.26,5226,0.2,2873,1.64,1024,34.3,6853,15.56,21689,0.41,10321,65.25,646,81.93,509,31.87,7806,8.02,22793,23.11,11625,22.64,11873,45.97,4035,0.29,8560,0.36,4606
"E01006566","Liverpool 032A",26.03,2,4,10231,"B","North West",26.03,10128,0.17,10819,0.13,8479,0.77,6148,13.31,18561,18.39,18294,-0.24,19834,47.23,3148,49.78,3354,42.14,4842,7.48,23347,29.31,8777,6.11,24805,20.51,13064,0.16,15704,0.3,6823
"E01006567","Liverpool 026A",46.44,1,1,2880,"B","North West",46.44,2882,0.28,4418,0.24,1318,1.52,1385,23.12,11544,24.74,11661,0.4,10464,46.59,3288,65.08,1518,9.62,21237,16.59,15571,32.9,7448,16.73,15478,29.52,8694,0.32,7386,0.42,2554
"E01006568","Liverpool 026B",30.09,2,3,8238,"B","North West",30.09,8161,0.21,8129,0.14,7515,1.08,3573,18.31,14551,22.87,13486,0.22,13062,32.26,7606,46.48,3937,3.81,27460,12.78,18453,32.95,7429,18.58,14244,18.04,14592,0.23,11602,0.38,3794
"E01006569","Liverpool 029B",52.86,1,1,1706,"B","North West",52.86,1711,0.3,3617,0.24,1414,1.67,968,34.86,6682,20.87,15579,0.45,9765,74.5,208,93.75,134,36.01,6452,10.71,20231,31.03,8115,24.18,11076,45.53,4120,0.28,8854,0.46,1855
"E01006570","Liverpool 026C",18.1,3,5,15669,"B","North West",18.1,15501,0.09,19478,0.11,10498,0.49,9326,9.8,21798,17.87,18904,-0.13,18235,26.53,10085,33.66,7190,12.27,18880,9.3,21536,26.43,10004,4.26,26917,15.34,16467,0.11,20296,0.14,19425
"E01006571","Liverpool 026D",59.55,1,1,864,"B","North West",59.55,865,0.36,2061,0.24,1345,1.56,1257,50.28,3136,14.62,22740,1.13,2702,82.61,36,92.54,164,62.75,1725,4.02,27203,25.22,10567,38.47,5755,62.1,1787,0.42,4163,0.49,1326
"E01006572","Liverpool 025A",63.93,1,1,521,"B","North West",63.93,530,0.53,123,0.27,749,1.77,723,60.68,1722,15.45,21827,0.61,7636,29.49,8734,25.68,10350,37.1,6132,0.36,31976,30.53,8300,63.07,1696,58.3,2184,0.81,37,0.58,515
"E01006573","Liverpool 029C",47.93,1,1,2583,"B","North West",47.93,2589,0.34,2487,0.21,2269,1.23,2593,30.68,8095,14.23,23186,0.2,13467,72.81,267,78.72,649,60.99,1896,0.81,31349,27.66,9460,29.8,8584,31.56,7921,0.42,4229,0.47,1662
"E01006574","Liverpool 025B",50.86,1,1,2023,"B","North West",50.86,2025,0.35,2338,0.24,1348,1.63,1054,34.51,6787,17.06,19851,0.57,8229,46.65,3271,60.44,1952,19.07,13935,0.59,31648,33.53,7233,33.15,7363,35.88,6491,0.4,4633,0.48,1469
"E01006575","Liverpool 034A",36.43,1,2,5771,"B","North West",36.43,5721,0.21,7913,0.16,5068,1.27,2385,22.87,11694,18.36,18326,0.76,5926,45.98,3410,54.66,2632,28.63,9054,13.41,17947,23.32,11515,28.73,9012,17.02,15278,0.31,7782,0.25,9927
"E01006576","Liverpool 034B",22.05,2,4,12641,"B","North West",22.05,12510,0.12,15667,0.11,11031,0.68,7096,10.04,21529,22.8,13554,-0.04,16867,39.9,5035,46.92,3855,25.87,10263,25.55,10409,20.05,13340,7.3,23530,12.78,18452,0.12,18839,0.22,12312
"E01006577","Liverpool 034C",14.73,3,6,18698,"B","North West",14.73,18496,0.08,21417,0.08,16898,0.19,13223,4.42,27760,22.11,14261,0.57,8167,17.1,16054,15.06,16670,21.16,12687,23.31,11519,20.91,12834,3.02,28430,5.81,25132,0.06,26326,0.13,20027
"E01006578","Liverpool 036A",17.93,3,5,15825,"B","North West",17.93,15655,0.09,18950,0.09,13939,0.28,11960,14.46,17565,14.35,23060,0.13,14440,37.48,5778,52.2,2977,8.04,22771,6.08,24843,22.62,11881,15.82,16117,13.09,18198,0.09,22611,0.19,14340
"E01006579","Liverpool 034D",11.75,4,7,22055,"B","North West",11.75,21839,0.07,23638,0.08,15996,-0.01,16157,5.71,26281,13.11,24446,-0.16,18636,21.96,12572,13.18,18128,39.53,5476,11.57,19473,14.64,16988,2.86,28639,8.56,22254,0.05,28231,0.14,19865
"E01006580","Liverpool 036B",9.39,4,8,25092,"B","North West",9.39,24838,0.05,26930,0.07,20017,0.1,14533,3.55,28796,13.93,23535,0.38,10674,3.66,30311,2.09,29623,6.8,24058,10.48,20439,17.37,15038,1.58,30301,5.53,25449,0.04,28995,0.11,23417
"E01006581","Liverpool 036C",11.52,4,7,22333,"B","North West",11.52,22111,0.06,24786,0.07,20114,-0.01,16124,3.02,29409,12.43,25218,0.45,9741,24.22,11273,16.1,15916,40.46,5241,4.48,26664,20.38,13141,1.23,30775,4.82,26267,0.04,28785,0.14,19394
"E01006582","Liverpool 041A",8.49,4,8,26249,"B","North West",8.49,25986,0.04,29066,0.05,24161,0,15981,2.23,30352,11.44,26305,0.18,13694,20.06,13803,9.98,20898,40.22,5302,8.31,22501,14.57,17044,0.93,31177,3.52,27812,0,31988,0.1,24437
